Date,Daily Close,Daily Returns,% Change ,Volatility ,Annualised Volatility,,
18-05-2025,1.11975,0.007867828,0.786782764,0.071525676,1.135434904,,
19-05-2025,1.12856,0.004492451,0.449245056,0.071703943,1.138264801,,
20-05-2025,1.13363,0.002125914,0.21259141,0.07188626,1.141159,,
21-05-2025,1.13604,-0.001716489,-0.171648886,0.072071396,1.14409795,,
22-05-2025,1.13409,0.00280401,0.280401026,0.072259427,1.147082837,,
23-05-2025,1.13727,0.004009602,0.400960194,0.072447101,1.150062078,,
25-05-2025,1.14183,-3.50315E-05,-0.003503148,0.072635498,1.153052792,,
26-05-2025,1.14179,-0.001769152,-0.176915195,0.072827479,1.156100383,,
27-05-2025,1.13977,-0.005053651,-0.505365118,0.073021529,1.159180837,,
28-05-2025,1.13401,0.004338586,0.433858608,0.07321756,1.162292733,,
29-05-2025,1.13893,-0.001984319,-0.198431861,0.073411847,1.165376945,,
30-05-2025,1.13667,0.001231668,0.123166794,0.073610682,1.168533348,,
01-06-2025,1.13807,0.006449515,0.644951541,0.073809982,1.171697142,,
02-06-2025,1.14541,-0.001981823,-0.19818231,0.074007368,1.174830552,,
03-06-2025,1.14314,0.000236192,0.023619154,0.074211111,1.178064865,,
04-06-2025,1.14341,0.005142512,0.514251231,0.074415803,1.181314245,,
05-06-2025,1.14929,-0.004463625,-0.446362537,0.074619223,1.184543435,,
06-06-2025,1.14416,-0.001459586,-0.145958607,0.074828499,1.187865592,,
08-06-2025,1.14249,0.001164124,0.116412397,0.075038985,1.19120695,,
09-06-2025,1.14382,0.000655698,0.065569757,0.0752502,1.194559892,,
10-06-2025,1.14457,0.007251632,0.725163162,0.075463457,1.197945239,,
11-06-2025,1.15287,0.008578591,0.857859082,0.075673763,1.20128374,,
12-06-2025,1.16276,-0.005220338,-0.522033782,0.075884461,1.204628478,,
13-06-2025,1.15669,-0.001772299,-0.177229854,0.076104728,1.208125102,,
15-06-2025,1.15464,0.005776692,0.57766923,0.076326343,1.211643139,,
16-06-2025,1.16131,-0.003444386,-0.344438608,0.07654541,1.215120715,,
17-06-2025,1.15731,-0.003784639,-0.378463852,0.076771332,1.218707115,,
18-06-2025,1.15293,3.46942E-05,0.003469421,0.076999324,1.22232637,,
19-06-2025,1.15297,0.001153543,0.115354259,0.077228191,1.22595952,,
20-06-2025,1.1543,-0.003101447,-0.310144676,0.077458548,1.229616333,,
22-06-2025,1.15072,0.008864016,0.886401557,0.077692615,1.233332032,,
23-06-2025,1.16092,0.002799504,0.279950384,0.077920556,1.236950472,,
24-06-2025,1.16417,0.006124535,0.612453508,0.078156168,1.240690696,,
25-06-2025,1.1713,0.002484419,0.248441902,0.078391165,1.244421166,,
26-06-2025,1.17421,0.000570596,0.05705964,0.078631306,1.248233285,,
27-06-2025,1.17488,-0.000919243,-0.091924282,0.07887484,1.252099272,,
29-06-2025,1.1738,0.005494974,0.549497359,0.07912137,1.256012805,,
30-06-2025,1.18025,0.001982631,0.19826308,0.079365839,1.259893629,,
01-07-2025,1.18259,-0.001352963,-0.135296257,0.079615428,1.263855735,,
02-07-2025,1.18099,-3.38699E-05,-0.003386989,0.079869185,1.267884006,,
03-07-2025,1.18095,-0.001922181,-0.192218129,0.080124775,1.271941371,,
